domain,input_domain,source,predicted_b2b,predicted_saas,last_b2b2_saas_refresh_timestamp,b2b_saas_version,predicted_hardware_component,predicted_annual,predicted_annual_reason,last_monthly_payments_refresh_timestamp,monthly_payments_version,last_prediction_list_name,linkedin_about_us,city,company_type,linkedin_employee_count_dynamic,linkedin_employee_count_static,scraped_linkedin_financing_last_round_date,scraped_linkedin_financing_last_round_raised,scraped_linkedin_financing_last_round_type,scraped_linkedin_financing_main_investor,scraped_linkedin_financing_rounds,scraped_linkedin_founded_year,scraped_linkedin_headline,scraped_linkedin_industry,scraped_linkedin_followers,scraped_linkedin_company_name,last_linkedin_refresh_timestamp,scraped_country,scraped_state,scraped_linkedin_id,scraped_linkedin_locations,scraped_linkedin_main_location,ocean_company_name,ocean_legal_name,ocean_country,ocean_employee_count,ocean_founded_year,ocean_description,ocean_web_traffic_bounced_rate,ocean_web_traffic_pages_per_visit,ocean_web_traffic_views,ocean_web_traffic_visits_count,ocean_linkedin_url,ocean_website,ocean_industries,last_ocean_refresh_timestamp,_synced,company_name,employee_count,linkedin_stub,linkedin_order,founded_year,industry,sub_industry,linkedin,last_funding_date,name_order,country
curvo.ai,curvo.ai,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information for Curvo is not provided in the text, and it suggests contacting for a demo, indicating that pricing details may require direct inquiry.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Curvo AI is a deal intelligence solution enables teams to build a repeatable sales motion that scales. Our tool installs sales coaching in the moment and retrospectively, aligning to your playbook with MEDDIC qualification.\n",,Privately Held,11,11-50,,,,,,2024,Deal intelligence for enterprise sales teams to maximise revenue potential.,Software Development,,Curvo.ai,2025-01-10 17:15:26.420545 UTC,,,103137975,[],,,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Curvo.ai,11,,,2024,Software Development,,https://linkedin.com/company/103137975,,1,
agri-trak.com,agri-trak.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,true,False,"The company offers both monthly and yearly pricing options, indicating flexibility beyond just annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Agri-Trak simplifies farm management for fruit and vegetable growers, replacing outdated pen-and-paper methods with digital workforce tracking. Simply put: we track the who, what, where, and when on farms.  \n",Pultneyville,Privately Held,5,2-10,,,,,,2020,Agri-Trak digitizes workforce tracking for fruit and vegetable growers.,Software Development,299,Agri-Trak,2025-01-10 17:15:26.420545 UTC,US,NY,76853986,"[""4137 Mill Street, PO BOX 75, Pultneyville, NY 14538, US""]","4137 Mill Street, PO BOX 75, Pultneyville, NY 14538, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Agri-Trak,5,,,2020,Software Development,,https://linkedin.com/company/76853986,,1,United States
goodtravelsoftware.com,goodtravelsoftware.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              In GTS we believe shared mobility can help deliver cleaner air, cheaper transport and lower carbon emissions. Shared vehicles, cars, bikes, buses etc. are better for the environment, less costly for users and reduce congestion on our streets. GTS’s mission is to make shared mobility so easy to use and operate that it becomes the default mode of transport globally. \n\nPeople are at the centre of everything we do; travellers who want the right vehicle, in the right place, at the right time and price; mobility providers who want to optimise their services and reduce their operation costs; our staff who want their work to have meaning and impact. GTS’s absolute focus on people and their needs helps us to strip away the unnecessary and confusing to deliver simplicity. We believe making the use and operation of mobility services simple is the best way to drive the growth of these services and to contribute to making the world a better place for everyone. \n\nGTS is the world leader in station based mobility solutions. Our API driven platform combines AI-powered technology and data analysis to drive the success of our clients. We support major mobility services including Kinto Share, Kinto Rent and Kinto Flex (Toyota) as well as cities across Europe and North America. \n\nOur team is drawn from all over the world and we welcome people from all backgrounds. If you are unrelenting in your pursuit of solutions and want to define the transport of tomorrow, join us! \n\n",Dublin,Privately Held,28,11-50,,,,,,2010,Shared Mobility Made Simple,Software Development,1079,Good Travel Software,2025-01-10 17:15:26.420545 UTC,IE,County Dublin,5044136,"[""10-13 Thomas Street, Dublin, County Dublin, IE""]","10-13 Thomas Street, Dublin, County Dublin, IE",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Good Travel Software,28,,,2010,Software Development,,https://linkedin.com/company/5044136,,1,Ireland
redflagai.co,redflagai.co,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"Meet Redflag, an innovative AI-powered platform designed to combat the unauthorized use of your valuable digital assets. We use advanced technology to create unique digital fingerprints for each piece of content, ensuring your work is continuously monitored and protected. Our system swiftly detects and intercepts any unauthorized access, providing peace of mind and maintaining the integrity of your digital creations. Whether you're a creator, brand, or business, Redflag is committed to safeguarding your intellectual property in an increasingly digital world.",Berkeley,Privately Held,34,11-50,,,,,,2019,The Industry Standard For Content And Brand Protection,Software Development,1861,Redflag AI,2024-10-30 10:02:37.331890 UTC,US,California,,,,,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Redflag AI,34,,,2019,Software Development,,,,1,United States
archy.com,archy.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,The pricing page does not provide clear information about whether the company offers only annual pricing or other options like monthly or usage-based plans. It suggests contacting for pricing details.,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Archy's all-in-one practice management software helps practices save big by eliminating the need for multiple costly add-on software packages and services. On average, a solo practice can save $8,000 per year by switching to Archy. From charting to payroll, employee management to patient engagement, Archy provides a much-needed one-stop shop for practice owners.\n",San Jose,Privately Held,,11-50,,,,,,2021,Powering the Modern Dental Practice,Software Development,1991,Archy,2025-01-10 17:15:26.420545 UTC,US,CA,74099951,"[""San Jose, CA 95128, US""]","San Jose, CA 95128, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Archy,,,,2021,Software Development,,https://linkedin.com/company/74099951,,1,United States
builder.ai,builder.ai,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers flexible payment options, including weekly and monthly installments, indicating that they do not exclusively offer annual pricing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Builder.ai, the AI powered composable software platform that allows every business and entrepreneur to become digitally powered.\n",London,Privately Held,,"501-1,000",,,,,,2012,We are the next gen software development platform for every company & idea on the planet 🌍,Software Development,275390,Builder.ai,2025-01-10 17:15:26.420545 UTC,GB,England,51670996,"[""North West House, 119 Marylebone Rd, London, England NW1 5PU, GB""]","North West House, 119 Marylebone Rd, London, England NW1 5PU, GB",Builder,Hassan Builder Limited,United States,1080,2012,"Engineer.ai is a platform for building bespoke software using AI and a library of building blocks to democratize software development; making it faster, more accessible and less expensive for everyone.",46.97,7.63,2599541,340700,https://www.linkedin.com/company/engineer.ai,https://www.builder.ai/,"[{""name"":""Android"",""score"":1.0},{""name"":""Apps"",""score"":1.0},{""name"":""Mobile Apps"",""score"":1.0},{""name"":""Software"",""score"":1.0},{""name"":""iOS"",""score"":1.0},{""name"":""Information Technology"",""score"":0.9999999},{""name"":""Web Apps"",""score"":0.999985},{""name"":""Mobile"",""score"":0.9999553},{""name"":""Developer Tools"",""score"":0.99985397},{""name"":""Developer Platform"",""score"":0.9984999},{""name"":""Web Development"",""score"":0.9963214},{""name"":""App Marketing"",""score"":0.97437894},{""name"":""PaaS"",""score"":0.94926405}]",2024-12-03 08:49:37.312282 UTC,2025-01-13 05:07:17.747740 UTC,Builder.ai,1080,engineer.ai,1,2012,Software Development,Apps,https://www.linkedin.com/company/engineer.ai,,1,United Kingdom
fieldpulse.com,fieldpulse.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information is not explicitly provided on the page, and it suggests contacting sales for more details.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              FieldPulse is an all-in-one field service management software that helps service businesses scale by streamlining workflows in the office and in the field. \n\nCut down on administrative tasks and endless paperwork. With FieldPulse, you can schedule jobs, send itemized estimates and invoices, and even receive payments through your phone.\n\nIncrease your team’s efficiency by keeping them updated and on-track. Your team can see job and client details, track assigned tasks, and provide status updates.\n\nManage customer information, log comments, and keep track of past jobs and invoices. Know your customer better than ever and never lose track of payments.\n",Dallas,Privately Held,90,51-200,,,,,,2015,The #1 Software for Field Service Businesses,Software Development,2391,FieldPulse,2025-01-10 01:13:56.793146 UTC,US,Texas,10872551,"[""8144 Walnut Hill Ln, Suite 1050, Dallas, Texas 75231, US""]","8144 Walnut Hill Ln, Suite 1050, Dallas, Texas 75231, US",FieldPulse,,United States,72,2015,"FieldPulse is an all-in-one application to run your field service business.

Cut down on administrative tasks and endless paperwork. With FieldPulse, you can schedule jobs, send itemized estimates and invoices, and even receive payments through your phone.

Increase your team’s efficiency by keeping them updated and on-track. Your team can see job and client details, track assigned tasks, and provide status updates.

Manage customer information, log comments, and keep track of past jobs and invoices. Know your customer better than ever and never lose track of payments.",58.25,3.31,118497,35800,https://www.linkedin.com/company/fieldpulse,https://www.fieldpulse.com/,"[{""name"":""Enterprise Software"",""score"":1.0},{""name"":""Information Technology"",""score"":1.0},{""name"":""Software"",""score"":1.0},{""name"":""SaaS"",""score"":0.9999999},{""name"":""Enterprise Applications"",""score"":0.8996991},{""name"":""Management Information Systems"",""score"":0.7522502}]",2025-01-08 22:03:12.091194 UTC,2025-01-13 05:07:17.747740 UTC,FieldPulse,90,fieldpulse,1,2015,Software Development,Information Technology,https://www.linkedin.com/company/fieldpulse,,1,United States
strivacity.com,strivacity.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers pricing based on the number of monthly active users (MAUs), indicating a usage-based pricing model rather than exclusively annual pricing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,\n              Strivacity lets brands quickly add secure login and identity management capabilities to their customer-facing applications without tying up an army of developers or consultants to do it. \n,Herndon,Privately Held,40,11-50,,,,,,2019,Customer identity and access management (CIAM),Software Development,1666,Strivacity,2025-01-10 17:15:26.420545 UTC,US,Virginia,40894131,"[""205 Van Buren St, 120, Herndon, Virginia 20170, US"",""Levendula utca 1., Veszprém, 8200, HU""]","205 Van Buren St, 120, Herndon, Virginia 20170, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Strivacity,40,,,2019,Software Development,,https://linkedin.com/company/40894131,,1,United States
castsoftware.com,castsoftware.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              CAST, the software intelligence leader, provides software that ‘understands’ multi-technology software systems and automatically derives insights about their inner workings – interactions between all its elements, transaction flows, data access paths, changes needed to move to cloud, open-source risks, green impact, ISO 5055 compliance, etc. It is used globally by thousands of digital leaders, helping them make smarter decisions, maintain and transform custom software with greater speed, and exert better ongoing control of the risks involved. Visit www.castsoftware.com.\n",New York,Privately Held,,201-500,,,,,,1990,Software Intelligence - castsoftware.com,Software Development,68680,CAST,2025-01-10 17:15:26.420545 UTC,US,NY,162909,"[""1450 Broadway, floor 26, New York, NY 10018, US"",""36-38 Cornhill, International House, London, England, GB"",""3 rue Marcel Allegot, Meudon, 92190, FR"",""Gustavo Fernández Balbuena, 11, Loft 2B, MADRID, 28002, ES"",""No.7/1 Ulsoor Road, 2nd and 3rd Floor, “Obeya Pulse”, Bengaluru, Karnataka 560042, IN"",""Fürstenfelder Straße 13, Munich, Bavaria 80331, DE"",""Via Sambuco, 15, Milan, Lombardy 20122, IT""]","1450 Broadway, floor 26, New York, NY 10018, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,CAST,,,,1990,Software Development,,https://linkedin.com/company/162909,,1,United States
freightscience.com,freightscience.com,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing information is not provided on the page, and it suggests contacting sales for more details.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              The trucking industry is truly the backbone of the U.S. economy. Unfortunately, this critical industry has been largely underserved by modern software solutions, relying on dated technology and manual decision-making. Freight Science is bringing advanced data and analytics to enable large asset carriers to automate logistics and respond to rapidly changing market conditions.\n",St. Louis,Privately Held,,11-50,,,,,,,Transforming trucking technology for the demands of the modern freight market.,Software Development,1336,Freight Science,2025-01-10 17:15:26.420545 UTC,US,Missouri,64995126,"[""St. Louis, Missouri, US""]","St. Louis, Missouri, US",Freight Science,,United States,26,,"The trucking industry is truly the backbone of the U.S. economy. Unfortunately, this critical industry has been largely underserved by modern software solutions, relying on dated technology and manual decision-making. Freight Science is bringing advanced data and analytics to enable large asset carriers to automate logistics and respond to rapidly changing market conditions.",,,,,https://www.linkedin.com/company/freight-science,https://freightscience.com/,"[{""name"":""Logistics"",""score"":1.0},{""name"":""Transportation"",""score"":1.0},{""name"":""Supply Chain Management"",""score"":0.99999875},{""name"":""Freight Service"",""score"":0.99972576},{""name"":""Software"",""score"":0.9504131},{""name"":""Shipping"",""score"":0.47480288}]",2024-11-30 03:23:59.167108 UTC,2025-01-13 05:07:17.747740 UTC,Freight Science,26,freight-science,1,,Software Development,Transportation,https://www.linkedin.com/company/freight-science,,1,United States
getinsyte.com,getinsyte.com,clientdb,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              A next-generation SAAS ITIL services management company that uniquely combines expertise in cloud-based, ITIL-certified ITSM. Given these wide ranging capabilities, INSITE serves its customers as a trusted provider they can rely upon to determine, fulfill, provision, maintain and manage \""best-of-breed\"" technology solutions for their evolving IT environments.  Based on Salesforce.com's Force.com platform, you can leverage your existing IT staff to manage and customize our Native application.\n\nInSite's enables its customers to concentrate on running their business and optimizing operations– rather than utilizing scarce IT resources for tactical and reactive firefighting.\n\nCustomers can leverage and to help automate service management and help desk operations to greatly increase end user satisfaction while lower operating costs, InSite customers can take advantage of INSITE 3.0 software, an ITIL and PINK - certified ITSM application running on the Force.com platform.\n",Alameda,Privately Held,,11-50,,,,,,2012,,Software Development,36,INSITE Corporation,2025-01-10 17:15:26.420545 UTC,US,CA,3229459,"[""1070 Marina Village Parkway, Suite 200, Alameda, CA 94501, US""]","1070 Marina Village Parkway, Suite 200, Alameda, CA 94501, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,INSITE Corporation,,,,2012,Software Development,,https://linkedin.com/company/3229459,,1,United States
technosylva.com,technosylva.com,crunchbase,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Tecnosylva is a technology company focused on the development of emergency solutions, such as forest fires. To this effect, we apply tools such as fiResponse and Wildfire Analyst. We also offer a consulting service and  land engineering service in the natural environment.\n\nOur results over the years guarantee the quality of our projects which, from a multidisciplinary approach, offer services and solutions to real problems in the environment.\n\nWe are committed to the develpment of software products which facilitate the application of new technologies in areas such as emergency management and forest fire control.\n",San Diego,Privately Held,116,51-200,,,,,,1997,Advanced Wildfire Science & Technology Solutions,Software Development,2536,Technosylva,2025-01-10 17:15:26.420545 UTC,US,California,2657384,"[""7590 Fay Ave, Suite 300, San Diego, California 92037, US""]","7590 Fay Ave, Suite 300, San Diego, California 92037, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Technosylva,116,,,1997,Software Development,,https://linkedin.com/company/2657384,,1,United States
digitalcoursehive.com,digitalcoursehive.com,clientdb,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers both monthly and annual pricing options for their plans, indicating that they do not exclusively offer annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,\n              The Newest all-in-one platform for Digital Course Entrepreneurs\n,Los Angeles,Partnership,,2-10,,,,,,,The newest all-in-one platform for Digital Course Entrepreneurs,Software Development,11,Digital Course Hive,2025-01-10 17:15:26.420545 UTC,US,CA,73836454,"[""Los Angeles, CA, US""]","Los Angeles, CA, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Digital Course Hive,,,,,Software Development,,https://linkedin.com/company/73836454,,1,United States
fathom.video,fathom.video,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers monthly pricing options alongside annual plans, indicating multiple billing cycles are available.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Fathom is a free app that records, transcribes, and summarizes your Zoom, Google Meet or Microsoft Teams meetings so you can focus on the conversation instead of taking notes.\n",San Francisco,Privately Held,,11-50,,,,,,2020,"Never take notes again with instant meeting summaries for Zoom, Teams & Google Meet ✨   Free app 🚀   #1 Rated on G2 🔥",Software Development,10377,Fathom - AI Meeting Assistant,2025-01-10 17:15:26.420545 UTC,US,CA,73250035,"[""San Francisco, CA 94114, US""]","San Francisco, CA 94114, US",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Fathom - AI Meeting Assistant,,,,2020,Software Development,,https://linkedin.com/company/73250035,,1,United States
serenityehs.com,serenityehs.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Serenity delivers the only natively-built, AI-powered EHS solutions on ServiceNow. Our solutions elevate efficiency and compliance, protect employee well-being and safety, and safeguard brand reputation.\n",San Diego,Privately Held,41,11-50,,,,,,2019,"The Ready to Use, AI-Powered EHS Platform",Software Development,1919,Serenity,2025-01-10 17:15:26.420545 UTC,US,CA,36080289,"[""San Diego, CA 92122, US""]","San Diego, CA 92122, US",Serenity,,United States,22,2019,"Serenity delivers the only natively-built, AI-powered EHS solutions on ServiceNow. Our solutions elevate efficiency and compliance, protect employee well-being and safety, and safeguard brand reputation.",,,,,https://www.linkedin.com/company/serenityops,https://www.serenityehs.com/,"[{""name"":""Information Technology"",""score"":1.0},{""name"":""Software"",""score"":1.0},{""name"":""Enterprise Software"",""score"":0.99385285},{""name"":""Compliance"",""score"":0.950124}]",2025-01-11 22:08:36.275534 UTC,2025-01-13 05:07:17.747740 UTC,Serenity,41,serenityops,1,2019,Software Development,Software,https://www.linkedin.com/company/serenityops,,1,United States
adaptive.build,adaptive.build,hubspot,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The company offers monthly pricing options starting at $350/mo, indicating that they do not exclusively offer annual pricing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Automating finance for builders and remodelers. Bills, receipts, free payments, budgets, invoices, draws - everything synced with QB.\n",New York,Privately Held,,11-50,,,,,,2022,"Automating finance for builders. Bills, receipts, free payments, budgets, invoices, draws - everything synced with QB",Software Development,2657,Adaptive,2025-01-10 17:15:26.420545 UTC,US,NY,74936419,"[""New York, NY, US""]","New York, NY, US",Adaptive,,United States,42,2022,"Automating finance for builders and remodelers. Bills, receipts, free payments, budgets, invoices, draws - everything synced with QB.",,,,,https://www.linkedin.com/company/adaptiverealestate,https://www.adaptive.build/,"[{""name"":""Software"",""score"":1.0},{""name"":""SaaS"",""score"":0.99999523},{""name"":""FinTech"",""score"":0.99998784},{""name"":""Information Technology"",""score"":0.99564683},{""name"":""Small and Medium Businesses"",""score"":0.5000348}]",2025-01-12 21:50:11.511193 UTC,2025-01-13 05:07:17.747740 UTC,Adaptive,42,adaptiverealestate,1,2022,Software Development,SaaS,https://www.linkedin.com/company/adaptiverealestate,,4,United States
checkboard.com,checkboard.com,pitchbook,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"The pricing page offers various plans based on usage (per invite), indicating that there are options beyond just annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Welcome to Checkboard, where we specialise in providing businesses with a bespoke client onboarding experience that provides relevant data and complies with AML regulations. Our check bundles are customisable and designed to work with a range of industries, enabling professionals and their clients to use secure and efficient technology. Within just 15 minutes a fully automated, report is generated allowing our clients to focus on more critical tasks. \n\nWe offer secure identification, KYC, AML, source of funds, and various data points.\n\nFor further information regarding our services and company, please visit our website at www.checkboard.com.\n\nCheckboard. Leading the future of compliance.\n",London,Privately Held,,11-50,,,,,,2020,Leading the future of compliance.,Software Development,1882,Checkboard,2025-01-10 17:15:26.420545 UTC,GB,England,28871174,"[""12 Marshgate Lane, 302 Mirror Works, London, England E15 2NH, GB""]","12 Marshgate Lane, 302 Mirror Works, London, England E15 2NH, GB",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Checkboard,,,,2020,Software Development,,https://linkedin.com/company/28871174,,1,United Kingdom
voyc.ai,voyc.ai,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,Backfilled,2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Leading AI-powered conversation intelligence & compliance monitoring solution.\n\nWe’re on a mission to empower regulated companies to monitor every interaction with consistency and care. \n\nSo far, we've reached over 45 million individuals through these monitored interactions, and we are ambitiously aiming to impact 1 billion people.\n",Amsterdam,Privately Held,31,11-50,,,,,,2018,Monitoring 100% of customer interactions to ensure compliance & improve customer outcomes,Software Development,,Voyc,2025-01-10 17:15:26.420545 UTC,NL,,11707168,"[""Amsterdam, NL"",""Wilhelmina van Pruisenweg 35, YES!Delft The Hague, Den Haag, 2595 AN , NL"",""31 Newlands Avenue, Montebello Design Centre, Cape Town, Western Cape 7708, ZA""]","Amsterdam, NL",,,,,,,,,,,,,[],,2025-01-13 05:07:17.747740 UTC,Voyc,31,,,2018,Software Development,,https://linkedin.com/company/11707168,,1,Netherlands
publitas.com,publitas.com,website,true,true,2025-01-10 17:01:34.171230 UTC,1,false,False,"Publitas offers both monthly and annual pricing options, making it clear that they do not exclusively offer annual billing.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Help online shoppers discover what they love. Sell more.\n~50% of shoppers know what they want; they search, select, and checkout. The others? They like to browse, discover, and be inspired. The online store is fine for the first group; however, connecting your brand with the second group requires something more... and that's what Publitas provides. We provide you and your shoppers with an immersive, shoppable experience designed to inspire shoppers while complementing your online store, offline store, and eCommerce objectives. Our customers have reported from 40% to as much as 308% higher conversion rates from their 'just browsing' audience when they viewed a Publitas publication.\""\nOver 2000 customers—including leading retailers such as METRO Cash & Carry, Crate & Barrel, and Williams-Sonoma—publish their catalogs online with Publitas to increase their reach and conversion.\n\nAs employers, we care about people and impact. This means that results matter more than hours spent. We want everyone to work on their own terms and enjoy life as a digital nomad. Travel the globe or simply work from your trusty sofa. You can connect remotely and be fully location independent.\n\nIf you get more out of your day, so do we! We value every individual and focus on helping you find and improve your strengths and passions. During our hiring process, we make sure you get real working experience in the position you're applying for. You'll go through a sample of challenges and meet your future team members.\n\nWe like to see ourselves as a diverse and international sports team, where each individual excels in their preferred playing position. To hire the best people with the right skills and cultural fit, we hire across the globe.\n",Amsterdam,Privately Held,,51-200,,,,,,2006,The Platform for Discovery Marketing,Software Development,,Publitas.com,2025-01-10 17:15:26.420545 UTC,NL,,552922,"[""Amsterdam, NL""]","Amsterdam, NL",publitas.com,,Netherlands,86,2006,"Help online shoppers discover what they love. Sell more.
~50% of shoppers know what they want; they search, select, and checkout. The others? They like to browse, discover, and be inspired. The online store is fine for the first group; however, connecting your brand with the second group requires something more... and that's what Publitas provides. We provide you and your shoppers with an immersive, shoppable experience designed to inspire shoppers while complementing your online store, offline store, and eCommerce objectives. Our customers have reported from 40% to as much as 308% higher conversion rates from their 'just browsing' audience when they viewed a Publitas publication.""
Over 2000 customers—including leading retailers such as METRO Cash & Carry, Crate & Barrel, and Williams-Sonoma—publish their catalogs online with Publitas to increase their reach and conversion.

As employers, we care about people and impact. This means that results matter more than hours spent. We want everyone to work on their own terms and enjoy life as a digital nomad. Travel the globe or simply work from your trusty sofa. You can connect remotely and be fully location independent.

If you get more out of your day, so do we! We value every individual and focus on helping you find and improve your strengths and passions. During our hiring process, we make sure you get real working experience in the position you're applying for. You'll go through a sample of challenges and meet your future team members.

We like to see ourselves as a diverse and international sports team, where each individual excels in their preferred playing position. To hire the best people with the right skills and cultural fit, we hire across the globe.",32,13.59,39411000,2900000,https://www.linkedin.com/company/publitas-com,https://www.publitas.com/,"[{""name"":""E-Commerce"",""score"":1.0},{""name"":""Internet"",""score"":0.99999976},{""name"":""E-Commerce Platforms"",""score"":0.99745715},{""name"":""Content"",""score"":0.9941037},{""name"":""Advertising"",""score"":0.99260545},{""name"":""Marketing"",""score"":0.99139106}]",2024-11-29 21:01:05.389788 UTC,2025-01-13 05:07:17.747740 UTC,Publitas.com,86,publitas-com,1,2006,Software Development,Internet,https://www.linkedin.com/company/publitas-com,,1,Netherlands
qase.io,qase.io,scraper,true,true,2025-01-10 17:01:34.171230 UTC,1,false,Not disclosed,"The pricing page does not provide clear information about whether only annual pricing is available or if there are other options like monthly or usage-based pricing. It suggests contacting for a quote, indicating that details are not fully disclosed.",2025-01-10 17:01:53.688110 UTC,3,historic_buyers_enriched_2025_01_10,"\n              Qase is an all-in-one test management platform built to beautifully orchestrate QA for both manual and automated testing. Users love our intuitive UI and powerful features, including test case management, defect management, test plans, test runs with informative reports, a rich API, and webhooks. Qase offers integrations with the most popular issue trackers like Jira, Asana, Slack, and dozens more. \n",Austin,Privately Held,47,11-50,,,,,,2018,"Qase is a modern test management platform for manual + automated QA testing, tracking, and reporting.",Software Development,2991,Qase,2025-01-10 17:15:26.420545 UTC,US,Texas,13990397,"[""Austin, Texas, US"",""4 Embarcadero Center, 1400, San Francisco, California 94111, US""]","Austin, Texas, US",Qase,,United States,40,2018,"Qase is an all-in-one test management platform built to beautifully orchestrate QA for both manual and automated testing. Users love our intuitive UI and powerful features, including test case management, defect management, test plans, test runs with informative reports, a rich API, and webhooks. Qase offers integrations with the most popular issue trackers like Jira, Asana, Slack, and dozens more.",35.18,12.49,1019183,81600,https://www.linkedin.com/company/qaseio,https://qase.io/,"[{""name"":""Quality Assurance"",""score"":1.0},{""name"":""Software"",""score"":1.0},{""name"":""Usability Testing"",""score"":0.9999996},{""name"":""Enterprise Software"",""score"":0.9997215},{""name"":""SaaS"",""score"":0.99961025},{""name"":""Information Technology"",""score"":0.99830157},{""name"":""Test and Measurement"",""score"":0.9686823},{""name"":""Developer Tools"",""score"":0.29218036}]",2025-01-12 20:43:07.744281 UTC,2025-01-13 05:07:17.747740 UTC,Qase,47,qaseio,1,2018,Software Development,Software,https://www.linkedin.com/company/qaseio,,1,United States
